fold,policy,model_accuracy,model_roc_auc,final_value,total_return,maximum_drawdown,trades,win_rate,profit_factor,exposure,accepted_signals,rejected_signals
1,baseline,0.5145631067961165,0.5707061900610289,10344.4295595662,0.03444295595662017,-0.009816428031113267,14,0.5714285714285714,4.5656559628344455,0.8446601941747572,14,0
1,confidence_55,0.5145631067961165,0.5707061900610289,10332.590861559265,0.03325908615592654,-0.009816428031113156,12,0.6666666666666666,5.7028374838367135,0.7766990291262136,12,11
1,confidence_60,0.5145631067961165,0.5707061900610289,10119.59460811316,0.011959460811316047,-0.01798607932469365,10,0.5,1.8427188130203944,0.6407766990291263,10,16
1,trend,0.5145631067961165,0.5707061900610289,10289.211658329117,0.02892116583291182,-0.01380730782862738,14,0.5714285714285714,4.054234418195679,0.8414239482200647,14,1
1,rsi_band,0.5145631067961165,0.5707061900610289,10281.28209452097,0.02812820945209693,-0.013807307828627269,12,0.5,3.973005249543768,0.7119741100323624,12,8
1,volatility_cap,0.5145631067961165,0.5707061900610289,10344.4295595662,0.03444295595662017,-0.009816428031113267,14,0.5714285714285714,4.5656559628344455,0.8446601941747572,14,0
1,quality_balanced,0.5145631067961165,0.5707061900610289,10312.094721385805,0.031209472138580496,-0.01380730782862738,11,0.6363636363636364,5.409368327831325,0.7119741100323624,11,11
1,quality_selective,0.5145631067961165,0.5707061900610289,10143.101249151545,0.014310124915154487,-0.012810980632178448,9,0.5555555555555556,2.0020452541709983,0.5469255663430421,9,30
2,baseline,0.5857605177993528,0.5462737865705424,10039.709733721924,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434,12,0
2,confidence_55,0.5857605177993528,0.5462737865705424,10056.461585860914,0.00564615858609141,-0.01675240358924679,12,0.6666666666666666,1.3367013902426723,0.7605177993527508,12,1
2,confidence_60,0.5857605177993528,0.5462737865705424,10182.899683797927,0.018289968379792576,-0.011586366540081272,11,0.7272727272727273,3.1153805896836917,0.6957928802588996,11,3
2,trend,0.5857605177993528,0.5462737865705424,10064.38078887583,0.006438078887582854,-0.011124046586854841,9,0.6666666666666666,1.4917735158684657,0.56957928802589,9,25
2,rsi_band,0.5857605177993528,0.5462737865705424,10086.32212091439,0.008632212091439051,-0.01189348397244172,11,0.6363636363636364,1.708324110601842,0.6990291262135923,11,5
2,volatility_cap,0.5857605177993528,0.5462737865705424,10039.709733721924,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434,12,0
2,quality_balanced,0.5857605177993528,0.5462737865705424,10092.356466167912,0.009235646616791104,-0.01154790559148755,8,0.75,1.9258970569609524,0.517799352750809,8,43
2,quality_selective,0.5857605177993528,0.5462737865705424,10043.709925547955,0.00437099255479545,-0.01468544510139802,8,0.5,1.4309795385824733,0.517799352750809,8,48
3,baseline,0.511326860841424,0.554998299897994,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605,14,0
3,confidence_55,0.511326860841424,0.554998299897994,9874.256343905134,-0.01257436560948666,-0.022721568650408308,14,0.35714285714285715,0.568828903280417,0.883495145631068,14,1
3,confidence_60,0.511326860841424,0.554998299897994,9836.704507063749,-0.01632954929362518,-0.02125456482643795,13,0.3076923076923077,0.43438229969904907,0.8155339805825242,13,5
3,trend,0.511326860841424,0.554998299897994,9904.138470014008,-0.009586152998599218,-0.010316562970675291,5,0.2,0.12565058885353203,0.32362459546925565,5,131
3,rsi_band,0.511326860841424,0.554998299897994,9914.084702104989,-0.008591529789501173,-0.019326691940733887,13,0.3076923076923077,0.5778270963071771,0.8252427184466019,13,13
3,volatility_cap,0.511326860841424,0.554998299897994,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605,14,0
3,quality_balanced,0.511326860841424,0.554998299897994,9869.350976258418,-0.013064902374158138,-0.01526106943576655,5,0.2,0.09524694875923426,0.32362459546925565,5,125
3,quality_selective,0.511326860841424,0.554998299897994,9926.505329594,-0.007349467040600022,-0.007739666990771665,4,0.25,0.15802949877717598,0.2588996763754045,4,132
4,baseline,0.4919093851132686,0.5190645190645191,10151.404105504427,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.8673139158576052,14,0
4,confidence_55,0.4919093851132686,0.5190645190645191,10228.972601409043,0.02289726014090432,-0.008243867672053207,12,0.5833333333333334,4.533601935733022,0.7766990291262136,12,9
4,confidence_60,0.4919093851132686,0.5190645190645191,10002.161133098401,0.0002161133098401713,-0.012724531009214557,10,0.5,1.0237236525135198,0.6472491909385113,10,26
4,trend,0.4919093851132686,0.5190645190645191,10087.891610447126,0.008789161044712612,-0.009686294958963781,12,0.5833333333333334,2.670599552925894,0.7378640776699029,12,18
4,rsi_band,0.4919093851132686,0.5190645190645191,10112.442262339984,0.011244226233998456,-0.012150404461634179,12,0.5,2.55171180784759,0.7378640776699029,12,16
4,volatility_cap,0.4919093851132686,0.5190645190645191,10151.404105504427,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.8673139158576052,14,0
4,quality_balanced,0.4919093851132686,0.5190645190645191,9979.90332616135,-0.002009667383865099,-0.01689780730081092,9,0.4444444444444444,0.8021019055488992,0.5825242718446602,9,43
4,quality_selective,0.4919093851132686,0.5190645190645191,10021.971846328832,0.002197184632883209,-0.010341903129218899,6,0.5,1.4036874778670234,0.3883495145631068,6,60
5,baseline,0.4336569579288026,0.5653824986241056,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806,12,0
5,confidence_55,0.4336569579288026,0.5653824986241056,10143.096332540375,0.014309633254037557,-0.006324360744535573,8,0.625,5.825378342238466,0.517799352750809,8,5
5,confidence_60,0.4336569579288026,0.5653824986241056,10052.494301547049,0.005249430154704804,-0.005304510480906521,6,0.5,2.489860882177629,0.3883495145631068,6,17
5,trend,0.4336569579288026,0.5653824986241056,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806,12,0
5,rsi_band,0.4336569579288026,0.5653824986241056,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806,12,0
5,volatility_cap,0.4336569579288026,0.5653824986241056,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806,12,0
5,quality_balanced,0.4336569579288026,0.5653824986241056,10057.314398683295,0.005731439868329469,-0.006324360744535573,7,0.5714285714285714,2.938674538530702,0.45307443365695793,7,12
5,quality_selective,0.4336569579288026,0.5653824986241056,10041.97921305785,0.004197921305785002,-0.00524919706951521,5,0.4,2.049448966876783,0.32362459546925565,5,26
6,baseline,0.36129032258064514,0.44175438596491234,10316.139046746192,0.03161390467461911,-0.015656579488890765,11,0.7272727272727273,3.171219760813992,0.6258064516129033,11,0
6,confidence_55,0.36129032258064514,0.44175438596491234,10180.48319954656,0.018048319954655945,-0.015656579488890876,8,0.625,2.253596905676984,0.432258064516129,8,5
6,confidence_60,0.36129032258064514,0.44175438596491234,9993.713654106057,-0.0006286345893943279,-0.015656579488890765,6,0.5,0.9636719447375202,0.3032258064516129,6,8
6,trend,0.36129032258064514,0.44175438596491234,10317.170248170296,0.03171702481702954,-0.015558184504833261,10,0.8,3.1933120002458857,0.6258064516129033,10,1
6,rsi_band,0.36129032258064514,0.44175438596491234,10218.050651085521,0.02180506510855218,-0.017341212439621834,9,0.6666666666666666,2.9954603332889898,0.5419354838709678,9,11
6,volatility_cap,0.36129032258064514,0.44175438596491234,10243.909777121718,0.024390977712171802,-0.015656579488890543,10,0.7,2.6831712860393577,0.5612903225806452,10,1
6,quality_balanced,0.36129032258064514,0.44175438596491234,10171.612871768933,0.01716128717689336,-0.01717082757787325,7,0.5714285714285714,2.5788376662816637,0.4129032258064516,7,13
6,quality_selective,0.36129032258064514,0.44175438596491234,10008.903012939274,0.0008903012939274202,-0.010700686590213282,4,0.25,1.0991236483045053,0.25806451612903225,4,24
